dem_name,other_name,County,Republican,Democrat,Other,rgb_color,hex_color,Year,State,repub_name
Kennedy,Unpledged,District 1,180,257,0,"(105.0, 0.0, 150.0)",#690096,1960,AK,Nixon
Kennedy,Unpledged,District 10,11119,9581,0,"(137.0, 0.0, 118.0)",#890076,1960,AK,Nixon
Kennedy,Unpledged,District 11,568,634,0,"(120.5, 0.0, 134.5)",#780086,1960,AK,Nixon
Kennedy,Unpledged,District 12,1005,1120,0,"(120.6, 0.0, 134.4)",#780086,1960,AK,Nixon
Kennedy,Unpledged,District 13,631,867,0,"(107.4, 0.0, 147.6)",#6b0093,1960,AK,Nixon
Kennedy,Unpledged,District 14,186,443,0,"(75.4, 0.0, 179.6)",#4b00b3,1960,AK,Nixon
Kennedy,Unpledged,District 15,372,634,0,"(94.3, 0.0, 160.7)",#5e00a0,1960,AK,Nixon
Kennedy,Unpledged,District 16,626,255,0,"(181.2, 0.0, 73.8)",#b50049,1960,AK,Nixon
Kennedy,Unpledged,District 17,360,279,0,"(143.7, 0.0, 111.3)",#8f006f,1960,AK,Nixon
Kennedy,Unpledged,District 18,440,536,0,"(115.0, 0.0, 140.0)",#73008c,1960,AK,Nixon
Kennedy,Unpledged,District 19,4614,4780,0,"(125.2, 0.0, 129.8)",#7d0081,1960,AK,Nixon
Kennedy,Unpledged,District 2,2115,1916,0,"(133.8, 0.0, 121.2)",#850079,1960,AK,Nixon
Kennedy,Unpledged,District 20,205,304,0,"(102.7, 0.0, 152.3)",#660098,1960,AK,Nixon
Kennedy,Unpledged,District 21,192,246,0,"(111.8, 0.0, 143.2)",#6f008f,1960,AK,Nixon
Kennedy,Unpledged,District 22,571,323,0,"(162.9, 0.0, 92.1)",#a2005c,1960,AK,Nixon
Kennedy,Unpledged,District 23,1008,791,0,"(142.9, 0.0, 112.1)",#8e0070,1960,AK,Nixon
Kennedy,Unpledged,District 24,151,291,0,"(87.1, 0.0, 167.9)",#5700a7,1960,AK,Nixon
Kennedy,Unpledged,District 3,853,763,0,"(134.6, 0.0, 120.4)",#860078,1960,AK,Nixon
Kennedy,Unpledged,District 4,1069,1227,0,"(118.7, 0.0, 136.3)",#760088,1960,AK,Nixon
Kennedy,Unpledged,District 5,2330,2105,0,"(134.0, 0.0, 121.0)",#860079,1960,AK,Nixon
Kennedy,Unpledged,District 6,512,675,0,"(110.0, 0.0, 145.0)",#6e0091,1960,AK,Nixon
Kennedy,Unpledged,District 7,318,318,0,"(127.5, 0.0, 127.5)",#7f007f,1960,AK,Nixon
Kennedy,Unpledged,District 8,375,410,0,"(121.8, 0.0, 133.2)",#790085,1960,AK,Nixon
Kennedy,Unpledged,District 9,1153,1054,0,"(133.2, 0.0, 121.8)",#850079,1960,AK,Nixon
Kennedy,Unpledged,Autauga,1149,1324,0,"(118.5, 0.0, 136.5)",#760088,1960,AL,Nixon
Kennedy,Unpledged,Baldwin,4812,5647,0,"(117.3, 0.0, 137.7)",#750089,1960,AL,Nixon
Kennedy,Unpledged,Barbour,1166,2148,0,"(89.7, 0.0, 165.3)",#5900a5,1960,AL,Nixon
Kennedy,Unpledged,Bibb,1052,1697,0,"(97.6, 0.0, 157.4)",#61009d,1960,AL,Nixon
Kennedy,Unpledged,Blount,2557,3404,0,"(109.4, 0.0, 145.6)",#6d0091,1960,AL,Nixon
Kennedy,Unpledged,Bullock,412,757,0,"(89.9, 0.0, 165.1)",#5900a5,1960,AL,Nixon
Kennedy,Unpledged,Butler,1231,2872,0,"(76.5, 0.0, 178.5)",#4c00b2,1960,AL,Nixon
Kennedy,Unpledged,Calhoun,4821,9590,0,"(85.3, 0.0, 169.7)",#5500a9,1960,AL,Nixon
Kennedy,Unpledged,Chambers,1865,5165,0,"(67.6, 0.0, 187.4)",#4300bb,1960,AL,Nixon
Kennedy,Unpledged,Cherokee,872,3097,0,"(56.0, 0.0, 199.0)",#3800c7,1960,AL,Nixon
Kennedy,Unpledged,Chilton,3201,1798,0,"(163.3, 0.0, 91.7)",#a3005b,1960,AL,Nixon
Kennedy,Unpledged,Choctaw,612,1094,0,"(91.5, 0.0, 163.5)",#5b00a3,1960,AL,Nixon
Kennedy,Unpledged,Clarke,2016,1878,0,"(132.0, 0.0, 123.0)",#84007b,1960,AL,Nixon
Kennedy,Unpledged,Clay,1548,1743,0,"(119.9, 0.0, 135.1)",#770087,1960,AL,Nixon
Kennedy,Unpledged,Cleburne,1008,1510,0,"(102.1, 0.0, 152.9)",#660098,1960,AL,Nixon
Kennedy,Unpledged,Coffee,1381,4470,0,"(60.2, 0.0, 194.8)",#3c00c2,1960,AL,Nixon
Kennedy,Unpledged,Colbert,2815,7550,0,"(69.3, 0.0, 185.7)",#4500b9,1960,AL,Nixon
Kennedy,Unpledged,Conecuh,650,1815,0,"(67.2, 0.0, 187.8)",#4300bb,1960,AL,Nixon
Kennedy,Unpledged,Coosa,1073,1493,0,"(106.6, 0.0, 148.4)",#6a0094,1960,AL,Nixon
Kennedy,Unpledged,Covington,2047,5744,0,"(67.0, 0.0, 188.0)",#4300bc,1960,AL,Nixon
Kennedy,Unpledged,Crenshaw,573,2923,0,"(41.8, 0.0, 213.2)",#2900d5,1960,AL,Nixon
Kennedy,Unpledged,Cullman,4248,6346,0,"(102.3, 0.0, 152.7)",#660098,1960,AL,Nixon
Kennedy,Unpledged,Dale,1634,2563,0,"(99.3, 0.0, 155.7)",#63009b,1960,AL,Nixon
Kennedy,Unpledged,Dallas,2872,2103,0,"(147.2, 0.0, 107.8)",#93006b,1960,AL,Nixon
Kennedy,Unpledged,DeKalb,5585,5844,0,"(124.6, 0.0, 130.4)",#7c0082,1960,AL,Nixon
Kennedy,Unpledged,Elmore,1919,3440,0,"(91.3, 0.0, 163.7)",#5b00a3,1960,AL,Nixon
Kennedy,Unpledged,Escambia,1810,3990,0,"(79.6, 0.0, 175.4)",#4f00af,1960,AL,Nixon
Kennedy,Unpledged,Etowah,7128,14372,0,"(84.5, 0.0, 170.5)",#5400aa,1960,AL,Nixon
Kennedy,Unpledged,Fayette,1923,2274,0,"(116.8, 0.0, 138.2)",#74008a,1960,AL,Nixon
Kennedy,Unpledged,Franklin,4069,3422,0,"(138.5, 0.0, 116.5)",#8a0074,1960,AL,Nixon
Kennedy,Unpledged,Geneva,1502,3050,0,"(84.1, 0.0, 170.9)",#5400aa,1960,AL,Nixon
Kennedy,Unpledged,Greene,381,723,0,"(88.0, 0.0, 167.0)",#5800a7,1960,AL,Nixon
Kennedy,Unpledged,Hale,741,1309,0,"(92.2, 0.0, 162.8)",#5c00a2,1960,AL,Nixon
Kennedy,Unpledged,Henry,588,2115,0,"(55.5, 0.0, 199.5)",#3700c7,1960,AL,Nixon
Kennedy,Unpledged,Houston,4055,3897,0,"(130.0, 0.0, 125.0)",#82007d,1960,AL,Nixon
Kennedy,Unpledged,Jackson,2036,4789,0,"(76.1, 0.0, 178.9)",#4c00b2,1960,AL,Nixon
Kennedy,Unpledged,Jefferson,60004,44369,0,"(146.6, 0.0, 108.4)",#92006c,1960,AL,Nixon
Kennedy,Unpledged,Lamar,964,2386,0,"(73.4, 0.0, 181.6)",#4900b5,1960,AL,Nixon
Kennedy,Unpledged,Lauderdale,3570,8565,0,"(75.0, 0.0, 180.0)",#4b00b4,1960,AL,Nixon
Kennedy,Unpledged,Lawrence,1365,2929,0,"(81.1, 0.0, 173.9)",#5100ad,1960,AL,Nixon
Kennedy,Unpledged,Lee,2301,3759,0,"(96.8, 0.0, 158.2)",#60009e,1960,AL,Nixon
Kennedy,Unpledged,Limestone,991,4147,0,"(49.2, 0.0, 205.8)",#3100cd,1960,AL,Nixon
Kennedy,Unpledged,Lowndes,432,796,0,"(89.7, 0.0, 165.3)",#5900a5,1960,AL,Nixon
Kennedy,Unpledged,Macon,877,1327,0,"(101.5, 0.0, 153.5)",#650099,1960,AL,Nixon
Kennedy,Unpledged,Madison,5299,10959,0,"(83.1, 0.0, 171.9)",#5300ab,1960,AL,Nixon
Kennedy,Unpledged,Marengo,1235,1436,0,"(117.9, 0.0, 137.1)",#750089,1960,AL,Nixon
Kennedy,Unpledged,Marion,2938,3099,0,"(124.1, 0.0, 130.9)",#7c0082,1960,AL,Nixon
Kennedy,Unpledged,Marshall,3398,6595,0,"(86.7, 0.0, 168.3)",#5600a8,1960,AL,Nixon
Kennedy,Unpledged,Mobile,24608,28626,0,"(117.9, 0.0, 137.1)",#750089,1960,AL,Nixon
Kennedy,Unpledged,Monroe,989,2130,0,"(80.9, 0.0, 174.1)",#5000ae,1960,AL,Nixon
Kennedy,Unpledged,Montgomery,11778,9421,0,"(141.7, 0.0, 113.3)",#8d0071,1960,AL,Nixon
Kennedy,Unpledged,Morgan,4357,7822,0,"(91.2, 0.0, 163.8)",#5b00a3,1960,AL,Nixon
Kennedy,Unpledged,Perry,744,973,0,"(110.5, 0.0, 144.5)",#6e0090,1960,AL,Nixon
Kennedy,Unpledged,Pickens,1277,1836,0,"(104.6, 0.0, 150.4)",#680096,1960,AL,Nixon
Kennedy,Unpledged,Pike,1006,3421,0,"(57.9, 0.0, 197.1)",#3900c5,1960,AL,Nixon
Kennedy,Unpledged,Randolph,1697,3175,0,"(88.8, 0.0, 166.2)",#5800a6,1960,AL,Nixon
Kennedy,Unpledged,Russell,1770,3480,0,"(86.0, 0.0, 169.0)",#5600a9,1960,AL,Nixon
Kennedy,Unpledged,Shelby,3157,3225,0,"(126.1, 0.0, 128.9)",#7e0080,1960,AL,Nixon
Kennedy,Unpledged,St. Clair,2589,3039,0,"(117.3, 0.0, 137.7)",#750089,1960,AL,Nixon
Kennedy,Unpledged,Sumter,623,765,0,"(114.5, 0.0, 140.5)",#72008c,1960,AL,Nixon
Kennedy,Unpledged,Talladega,4723,5729,0,"(115.2, 0.0, 139.8)",#73008b,1960,AL,Nixon
Kennedy,Unpledged,Tallapoosa,2150,5460,0,"(72.0, 0.0, 183.0)",#4800b7,1960,AL,Nixon
