1960 US Presidential Election,Nixon,Kennedy,Unpledged,Unnamed: 4
Acadia Parish,2616,11440,1028,
Allen Parish,1676,3719,820,
Ascension Parish,1012,5689,909,
Assumption Parish,766,3019,426,
Avoyelles Parish,1270,7625,1140,
Beauregard Parish,2432,2903,630,
Bienville Parish,1230,625,1693,
Bossier Parish,3429,2198,3093,
Caddo Parish,25139,11481,9681,
Calcasieu Parish,10243,24233,3151,
Caldwell Parish,716,694,631,
Cameron Parish,322,1944,74,
Catahoula Parish,971,558,603,
Claiborne Parish,1336,489,2029,
Concordia Parish,1009,768,1554,
De Soto Parish,1603,1183,1653,
East Baton Rouge Parish,17749,26326,12360,
East Carroll Parish,448,364,712,
East Feliciana Parish,313,475,1139,
Evangeline Parish,1105,7865,794,
Franklin Parish,1336,1213,1490,
Grant Parish,1254,1219,1409,
Iberia Parish,3551,9235,2684,
Iberville Parish,1000,4558,751,
Jackson Parish,1799,1398,903,
Jefferson Parish,17215,32119,13304,
Jefferson Davis Parish,2251,5904,557,
Lafayette Parish,6047,14132,2505,
Lafourche Parish,2930,12244,881,
La Salle Parish,2123,843,876,
Lincoln Parish,2766,1051,1292,
Livingston Parish,954,2881,2793,
Madison Parish,629,235,1024,
Morehouse Parish,2551,1085,1144,
Natchitoches Parish,2562,2781,1717,
Orleans Parish,47111,87242,41414,
Ouachita Parish,10525,5202,3564,
Plaquemines Parish,712,1087,3347,
Pointe Coupee Parish,674,2953,485,
Rapides Parish,8155,9651,5976,
Red River Parish,406,377,1134,
Richland Parish,1378,996,1495,
Sabine Parish,2419,2412,1058,
St. Bernard Parish,1431,4660,4858,
St. Charles Parish,1377,4708,517,
St. Helena Parish,296,678,835,
St. James Parish,620,4362,332,
St. John the Baptist Parish,488,3782,450,
St. Landry Parish,3083,14625,2554,
St. Martin Parish,858,5506,699,
St. Mary Parish,2992,6671,1169,
St. Tammany Parish,2850,5179,3034,
Tangipahoa Parish,3285,6648,4418,
Tensas Parish,510,247,451,
Terrebonne Parish,3126,8992,1092,
Union Parish,2017,1034,1012,
Vermilion Parish,2170,11257,1168,
Vernon Parish,1991,3145,1024,
Washington Parish,1847,5678,3875,
Webster Parish,3139,1273,3255,
West Baton Rouge Parish,390,2315,436,
West Carroll Parish,742,784,897,
West Feliciana Parish,196,271,424,
Winn Parish,1839,1108,1149,
