1964 US Presidential Election,Goldwater,Johnson,Unpledged,Unnamed: 4
Acadia Parish,6706,9463,0,
Allen Parish,2704,3787,0,
Ascension Parish,3197,4879,0,
Assumption Parish,2112,3056,0,
Avoyelles Parish,4874,5102,0,
Beauregard Parish,3349,3049,0,
Bienville Parish,3740,855,0,
Bossier Parish,9822,1937,0,
Caddo Parish,42197,10158,0,
Calcasieu Parish,17046,23285,0,
Caldwell Parish,2534,609,0,
Cameron Parish,871,1576,0,
Catahoula Parish,2387,560,0,
Claiborne Parish,3917,482,0,
Concordia Parish,4022,809,0,
De Soto Parish,3954,1254,0,
East Baton Rouge Parish,36964,26152,0,
East Carroll Parish,1486,263,0,
East Feliciana Parish,1900,486,0,
Evangeline Parish,3975,6163,0,
Franklin Parish,5470,759,0,
Grant Parish,3292,1454,0,
Iberia Parish,8196,8141,0,
Iberville Parish,3432,4445,0,
Jackson Parish,4521,1552,0,
Jefferson Parish,37161,31804,0,
Jefferson Davis Parish,3673,4966,0,
Lafayette Parish,12398,14487,0,
Lafourche Parish,6164,12045,0,
La Salle Parish,4319,864,0,
Lincoln Parish,5766,1714,0,
Livingston Parish,5508,3509,0,
Madison Parish,2061,417,0,
Morehouse Parish,6222,891,0,
Natchitoches Parish,5525,2975,0,
Orleans Parish,81049,82045,0,
Ouachita Parish,21024,4174,0,
Plaquemines Parish,4904,775,0,
Pointe Coupee Parish,2327,2247,0,
Rapides Parish,18122,9992,0,
Red River Parish,2235,334,0,
Richland Parish,4498,747,0,
Sabine Parish,4165,2081,0,
St. Bernard Parish,8055,6175,0,
St. Charles Parish,2715,5085,0,
St. Helena Parish,1319,706,0,
St. James Parish,1467,4214,0,
St. John the Baptist Parish,1694,3958,0,
St. Landry Parish,10920,11807,0,
St. Martin Parish,2793,4675,0,
St. Mary Parish,5530,7327,0,
St. Tammany Parish,7883,6694,0,
Tangipahoa Parish,9732,7109,0,
Tensas Parish,1655,192,0,
Terrebonne Parish,6729,8577,0,
Union Parish,4534,1155,0,
Vermilion Parish,4984,9204,0,
Vernon Parish,3696,3564,0,
Washington Parish,7438,4825,0,
Webster Parish,8177,1755,0,
West Baton Rouge Parish,1835,1892,0,
West Carroll Parish,3017,395,0,
West Feliciana Parish,897,223,0,
Winn Parish,4366,1193,0,
