1968 US Presidential Election,Nixon,Humphrey,Wallace,Unnamed: 4
Acadia Parish,3178,4098,9715,
Allen Parish,1004,2026,4229,
Ascension Parish,1338,3203,6004,
Assumption Parish,1222,2085,2898,
Avoyelles Parish,2459,2973,6760,
Beauregard Parish,1615,1569,4048,
Bienville Parish,941,1768,3466,
Bossier Parish,3745,2782,9249,
Caddo Parish,21224,17675,28463,
Calcasieu Parish,9520,14593,20250,
Caldwell Parish,490,973,2252,
Cameron Parish,405,533,1655,
Catahoula Parish,755,769,2677,
Claiborne Parish,1117,1545,3311,
Concordia Parish,974,1983,4542,
De Soto Parish,974,3400,4190,
East Baton Rouge Parish,21661,21770,35250,
East Carroll Parish,586,1926,1706,
East Feliciana Parish,457,1409,2225,
Evangeline Parish,1549,2647,7362,
Franklin Parish,1052,681,5394,
Grant Parish,1113,932,3470,
Iberia Parish,5448,5510,8071,
Iberville Parish,1413,4084,4290,
Jackson Parish,1104,1525,3941,
Jefferson Parish,29478,20193,41902,
Jefferson Davis Parish,2213,2641,4897,
Lafayette Parish,10669,7983,11723,
Lafourche Parish,4797,5516,10910,
La Salle Parish,1258,710,3878,
Lincoln Parish,2643,2009,4225,
Livingston Parish,947,1400,9907,
Madison Parish,649,2659,2380,
Morehouse Parish,1772,1793,5377,
Natchitoches Parish,2352,3945,5505,
Orleans Parish,47728,72451,58489,
Ouachita Parish,10089,6470,15145,
Plaquemines Parish,968,1144,6430,
Pointe Coupee Parish,850,3139,3508,
Rapides Parish,10199,8793,16239,
Red River Parish,380,914,2477,
Richland Parish,1031,1017,4415,
Sabine Parish,1125,1159,4526,
St. Bernard Parish,3486,2485,13056,
St. Charles Parish,1675,3070,4383,
St. Helena Parish,219,1351,1800,
St. James Parish,778,2987,2765,
St. John the Baptist Parish,940,3245,3246,
St. Landry Parish,3508,9075,12659,
St. Martin Parish,1625,3321,4759,
St. Mary Parish,4586,5312,6761,
St. Tammany Parish,4846,4445,11470,
Tangipahoa Parish,2907,4983,13088,
Tensas Parish,503,845,1290,
Terrebonne Parish,5214,4627,8836,
Union Parish,1113,1336,4297,
Vermilion Parish,3278,3806,8124,
Vernon Parish,1574,1496,5536,
Washington Parish,1695,3021,11002,
Webster Parish,2496,2871,8646,
West Baton Rouge Parish,669,2016,2569,
West Carroll Parish,585,395,3574,
West Feliciana Parish,296,1303,1073,
Winn Parish,1050,1230,4015,
