1976 US Presidential Election,Ford,Carter,Other,Unnamed: 4
Acadia Parish,6296,10814,538,
Allen Parish,2080,5373,220,
Ascension Parish,4435,9100,443,
Assumption Parish,3117,4401,193,
Avoyelles Parish,4574,8104,637,
Beauregard Parish,3196,5322,268,
Bienville Parish,2499,3402,110,
Bossier Parish,12132,8062,293,
Caddo Parish,42627,30593,1120,
Calcasieu Parish,17485,33980,1130,
Caldwell Parish,1890,1830,86,
Cameron Parish,819,2432,87,
Catahoula Parish,2086,2547,134,
Claiborne Parish,3216,2891,100,
Concordia Parish,3849,3892,171,
De Soto Parish,3601,4630,117,
East Baton Rouge Parish,51655,49956,2196,
East Carroll Parish,1681,2367,110,
East Feliciana Parish,1668,3485,170,
Evangeline Parish,3715,7578,265,
Franklin Parish,3947,3824,220,
Grant Parish,2280,3670,186,
Iberia Parish,10392,9984,377,
Iberville Parish,3822,7254,313,
Jackson Parish,3310,3605,145,
Jefferson Parish,71787,53257,2516,
Jefferson Davis Parish,3603,6376,299,
Lafayette Parish,22805,19918,976,
Lafourche Parish,11434,14131,701,
La Salle Parish,3161,2961,188,
Lincoln Parish,6828,4971,170,
Livingston Parish,5555,9875,465,
Madison Parish,2096,4933,99,
Morehouse Parish,5418,4017,257,
Natchitoches Parish,5248,6692,477,
Orleans Parish,70925,93130,4249,
Ouachita Parish,24082,15738,631,
Plaquemines Parish,6052,2614,189,
Pointe Coupee Parish,2567,5147,162,
Rapides Parish,17766,20851,647,
Red River Parish,1728,1906,73,
Richland Parish,3630,3495,145,
Sabine Parish,3531,4555,265,
St. Bernard Parish,12707,12969,832,
St. Charles Parish,4270,6872,363,
St. Helena Parish,1046,2622,120,
St. James Parish,2751,4531,184,
St. John the Baptist Parish,3597,5700,312,
St. Landry Parish,9956,15613,674,
St. Martin Parish,4112,7992,329,
St. Mary Parish,8919,9401,388,
St. Tammany Parish,15822,14691,886,
Tangipahoa Parish,9242,14432,637,
Tensas Parish,1553,2081,43,
Terrebonne Parish,12895,10627,760,
Union Parish,4139,3600,166,
Vermilion Parish,6133,11246,471,
Vernon Parish,3970,6202,293,
Washington Parish,5677,10000,396,
Webster Parish,7550,7286,181,
West Baton Rouge Parish,1913,3809,162,
West Carroll Parish,2407,2595,110,
West Feliciana Parish,990,1890,46,
Winn Parish,3209,3543,137,
