1980 US Presidential Election,Reagan,Carter,Anderson,Unnamed: 4
Acadia Parish,11533,9948,416,
Allen Parish,3328,6057,110,
Ascension Parish,7238,12381,286,
Assumption Parish,4001,4679,153,
Avoyelles Parish,8216,7174,190,
Beauregard Parish,5250,5556,163,
Bienville Parish,3508,4123,51,
Bossier Parish,16515,9377,327,
Caddo Parish,51202,36422,1128,
Calcasieu Parish,27600,35446,1259,
Caldwell Parish,2653,1786,43,
Cameron Parish,1449,2221,82,
Catahoula Parish,2942,2414,38,
Claiborne Parish,3538,3443,53,
Concordia Parish,4933,3956,52,
De Soto Parish,4349,5861,49,
East Baton Rouge Parish,71063,57442,3312,
East Carroll Parish,1867,2283,24,
East Feliciana Parish,2650,4033,53,
Evangeline Parish,7412,6722,160,
Franklin Parish,5301,4177,65,
Grant Parish,3611,3290,77,
Iberia Parish,14273,9681,410,
Iberville Parish,4463,9361,172,
Jackson Parish,3923,3609,56,
Jefferson Parish,99403,50870,3578,
Jefferson Davis Parish,5667,6140,201,
Lafayette Parish,31429,19694,1263,
Lafourche Parish,14951,14222,675,
La Salle Parish,3792,2665,61,
Lincoln Parish,7515,5598,177,
Livingston Parish,10666,11319,287,
Madison Parish,2531,3264,16,
Morehouse Parish,7254,4856,65,
Natchitoches Parish,6668,7102,158,
Orleans Parish,74302,106858,4246,
Ouachita Parish,29799,16306,495,
Plaquemines Parish,5489,4318,154,
Pointe Coupee Parish,3667,6395,105,
Rapides Parish,25576,19436,530,
Red River Parish,2147,2776,29,
Richland Parish,4772,3745,48,
Sabine Parish,4265,5100,74,
St. Bernard Parish,19410,11367,616,
St. Charles Parish,6779,7898,283,
St. Helena Parish,1531,3183,42,
St. James Parish,3429,6206,113,
St. John the Baptist Parish,5819,7647,261,
St. Landry Parish,14940,17125,332,
St. Martin Parish,6701,7760,281,
St. Mary Parish,10378,10506,339,
St. Tammany Parish,27214,14161,872,
Tangipahoa Parish,15187,15272,491,
Tensas Parish,1645,2046,25,
Terrebonne Parish,16644,10804,559,
Union Parish,5130,3841,60,
Vermilion Parish,10481,9743,473,
Vernon Parish,5869,7198,167,
Washington Parish,8681,10413,170,
Webster Parish,8865,8568,118,
West Baton Rouge Parish,2828,4739,117,
West Carroll Parish,3430,2118,38,
West Feliciana Parish,1237,2341,40,
Winn Parish,3944,3411,57,
