1984 US Presidential Election,Reagan,Mondale,Other,Unnamed: 4
Acadia Parish,14906,9262,434,
Allen Parish,4474,4842,66,
Ascension Parish,11945,11048,177,
Assumption Parish,5433,4660,270,
Avoyelles Parish,9402,6808,463,
Beauregard Parish,7353,4199,96,
Bienville Parish,4587,3530,109,
Bossier Parish,22638,7006,138,
Caddo Parish,63429,35727,445,
Calcasieu Parish,35566,33214,430,
Caldwell Parish,3341,1348,130,
Cameron Parish,2265,1608,33,
Catahoula Parish,3640,1649,102,
Claiborne Parish,4349,2788,77,
Concordia Parish,6177,3332,183,
De Soto Parish,5989,4642,108,
East Baton Rouge Parish,95704,56673,891,
East Carroll Parish,1974,2089,69,
East Feliciana Parish,4166,4122,113,
Evangeline Parish,8680,6981,183,
Franklin Parish,6708,2937,249,
Grant Parish,5334,2588,175,
Iberia Parish,17727,10170,629,
Iberville Parish,6455,8587,117,
Jackson Parish,5034,2568,159,
Jefferson Parish,123997,41183,843,
Jefferson Davis Parish,8296,5962,206,
Lafayette Parish,44344,19265,849,
Lafourche Parish,20930,10186,889,
La Salle Parish,5404,1318,153,
Lincoln Parish,9087,5432,182,
Livingston Parish,17465,8913,198,
Madison Parish,2849,2906,109,
Morehouse Parish,8585,4829,271,
Natchitoches Parish,8836,5806,336,
Orleans Parish,86316,119478,1162,
Ouachita Parish,37270,15525,779,
Plaquemines Parish,7655,3261,61,
Pointe Coupee Parish,5477,6732,78,
Rapides Parish,32879,16121,963,
Red River Parish,3060,1958,49,
Richland Parish,5980,2918,185,
Sabine Parish,6295,2980,225,
St. Bernard Parish,24428,8076,153,
St. Charles Parish,10185,6784,113,
St. Helena Parish,2366,2956,113,
St. James Parish,4627,5989,119,
St. John the Baptist Parish,9093,7646,112,
St. Landry Parish,19055,17950,218,
St. Martin Parish,9698,8589,304,
St. Mary Parish,15275,9411,288,
St. Tammany Parish,38664,11719,392,
Tangipahoa Parish,19580,12799,200,
Tensas Parish,1956,1628,71,
Terrebonne Parish,23696,9640,753,
Union Parish,6585,2916,222,
Vermilion Parish,12721,9033,624,
Vernon Parish,9035,4076,258,
Washington Parish,11185,7680,123,
Webster Parish,12055,6509,113,
West Baton Rouge Parish,4189,4631,63,
West Carroll Parish,3874,1474,121,
West Feliciana Parish,2097,2296,33,
Winn Parish,4934,2633,160,
