1988 US Presidential Election,Bush,Dukakis,Other,Unnamed: 4
Acadia Parish,11319,11510,281,
Allen Parish,3674,5204,111,
Ascension Parish,10726,12147,367,
Assumption Parish,4017,5610,368,
Avoyelles Parish,7659,7353,588,
Beauregard Parish,6466,4704,114,
Bienville Parish,3680,3705,152,
Bossier Parish,20807,9035,243,
Caddo Parish,54498,39204,700,
Calcasieu Parish,29649,33932,519,
Caldwell Parish,2997,1423,139,
Cameron Parish,1775,2257,38,
Catahoula Parish,2862,1916,172,
Claiborne Parish,3756,3158,93,
Concordia Parish,5037,3461,263,
De Soto Parish,5022,5366,128,
East Baton Rouge Parish,86791,59270,1523,
East Carroll Parish,1536,1809,115,
East Feliciana Parish,3527,3659,163,
Evangeline Parish,7437,7693,270,
Franklin Parish,5520,3043,313,
Grant Parish,4402,2628,215,
Iberia Parish,15438,12166,727,
Iberville Parish,5855,8678,303,
Jackson Parish,4251,2842,156,
Jefferson Parish,110942,53035,2393,
Jefferson Davis Parish,5851,6799,141,
Lafayette Parish,36648,24133,877,
Lafourche Parish,16152,15013,1014,
La Salle Parish,4559,1622,178,
Lincoln Parish,8853,5427,377,
Livingston Parish,15779,9659,305,
Madison Parish,2334,2416,161,
Morehouse Parish,7335,4496,309,
Natchitoches Parish,7224,6151,358,
Orleans Parish,64763,116851,2186,
Ouachita Parish,33858,15429,1005,
Plaquemines Parish,6084,3997,212,
Pointe Coupee Parish,4333,6308,289,
Rapides Parish,29977,17928,986,
Red River Parish,2266,2254,66,
Richland Parish,5226,2833,256,
Sabine Parish,4767,3532,242,
St. Bernard Parish,19609,11406,721,
St. Charles Parish,9685,7973,337,
St. Helena Parish,2006,3013,134,
St. James Parish,3799,6707,213,
St. John the Baptist Parish,7464,8366,389,
St. Landry Parish,15790,19091,576,
St. Martin Parish,7541,10148,440,
St. Mary Parish,11540,10364,414,
St. Tammany Parish,38334,15638,851,
Tangipahoa Parish,16669,13527,492,
Tensas Parish,1645,1556,89,
Terrebonne Parish,18745,12686,781,
Union Parish,5900,3210,259,
Vermilion Parish,9224,12180,562,
Vernon Parish,7453,4998,310,
Washington Parish,9374,8369,351,
Webster Parish,10204,7434,167,
West Baton Rouge Parish,3972,4686,143,
West Carroll Parish,3077,1607,113,
West Feliciana Parish,1854,2146,89,
Winn Parish,4165,2699,193,
