1992 US Presidential Election,Bush,Clinton,Perot,Unnamed: 4
Acadia Parish,9017,12276,3145,
Allen Parish,3069,5626,1245,
Ascension Parish,10275,13036,4295,
Assumption Parish,2928,5639,1358,
Avoyelles Parish,4851,8696,2139,
Beauregard Parish,5119,5037,2103,
Bienville Parish,2412,3899,832,
Bossier Parish,15628,11313,4863,
Caddo Parish,42665,47733,11830,
Calcasieu Parish,24847,33570,10980,
Caldwell Parish,1752,2061,653,
Cameron Parish,1329,1985,995,
Catahoula Parish,1976,2570,773,
Claiborne Parish,2599,3263,926,
Concordia Parish,3223,4283,1317,
De Soto Parish,3643,5671,1358,
East Baton Rouge Parish,81072,68622,16102,
East Carroll Parish,1142,1835,283,
East Feliciana Parish,2813,4093,932,
Evangeline Parish,5147,8564,2124,
Franklin Parish,3889,4127,1311,
Grant Parish,3214,3122,1174,
Iberia Parish,11905,13040,4337,
Iberville Parish,5211,8218,1543,
Jackson Parish,3072,3370,882,
Jefferson Parish,100493,64302,21278,
Jefferson Davis Parish,4513,7022,2221,
Lafayette Parish,32406,28583,9124,
Lafourche Parish,12744,16182,5077,
La Salle Parish,3068,2389,993,
Lincoln Parish,7220,7205,1751,
Livingston Parish,14808,11499,4971,
Madison Parish,1702,2773,469,
Morehouse Parish,5364,6013,1727,
Natchitoches Parish,5694,6974,1606,
Orleans Parish,52019,133261,10889,
Ouachita Parish,27600,20835,6612,
Plaquemines Parish,5018,4467,1729,
Pointe Coupee Parish,3563,6512,1157,
Rapides Parish,22783,20873,6599,
Red River Parish,1649,2360,566,
Richland Parish,3808,3706,1054,
Sabine Parish,3586,4173,1219,
St. Bernard Parish,16131,12305,4308,
St. Charles Parish,9158,8810,2593,
St. Helena Parish,1515,3416,589,
St. James Parish,3339,6609,993,
St. John the Baptist Parish,6730,8977,1922,
St. Landry Parish,11882,20383,4266,
St. Martin Parish,5909,11252,2573,
St. Mary Parish,8792,10648,3257,
St. Tammany Parish,37839,19735,9005,
Tangipahoa Parish,14128,15194,4612,
Tensas Parish,1153,1666,353,
Terrebonne Parish,14662,13325,5505,
Union Parish,4434,4005,1209,
Vermilion Parish,7062,12324,3127,
Vernon Parish,5912,6005,2313,
Washington Parish,7227,9095,2303,
Webster Parish,6640,8380,2629,
West Baton Rouge Parish,3522,5131,1249,
West Carroll Parish,2082,2068,771,
West Feliciana Parish,1501,2328,516,
Winn Parish,2932,3537,843,
