1996 US Presidential Election,Dole,Clinton,Perot,Unnamed: 4
Acadia Parish,9246,12300,2234,
Allen Parish,2589,4930,1187,
Ascension Parish,10885,15263,3027,
Assumption Parish,2698,6416,904,
Avoyelles Parish,4433,9689,1937,
Beauregard Parish,5526,4925,1834,
Bienville Parish,2402,4335,457,
Bossier Parish,16852,15504,2660,
Caddo Parish,38445,55543,4821,
Calcasieu Parish,26494,38238,8281,
Caldwell Parish,1842,2117,514,
Cameron Parish,1365,2103,594,
Catahoula Parish,1770,2692,615,
Claiborne Parish,2500,3609,530,
Concordia Parish,3134,4565,855,
De Soto Parish,3526,6221,646,
East Baton Rouge Parish,77811,83493,7990,
East Carroll Parish,1008,2149,186,
East Feliciana Parish,2949,4714,660,
Evangeline Parish,5278,7847,1447,
Franklin Parish,3961,4076,814,
Grant Parish,3117,2980,1055,
Iberia Parish,12014,15087,2448,
Iberville Parish,4031,9553,1076,
Jackson Parish,3030,3368,571,
Jefferson Parish,92820,80407,9667,
Jefferson Davis Parish,4311,6897,1543,
Lafayette Parish,36419,32504,4631,
Lafourche Parish,12105,18810,2984,
La Salle Parish,2925,2543,947,
Lincoln Parish,6973,7903,761,
Livingston Parish,16159,13276,4150,
Madison Parish,1591,3085,315,
Morehouse Parish,5193,6160,963,
Natchitoches Parish,5471,8296,1053,
Orleans Parish,39576,144720,3805,
Ouachita Parish,28559,24525,3586,
Plaquemines Parish,4493,5348,856,
Pointe Coupee Parish,3545,6835,845,
Rapides Parish,21548,23004,4670,
Red River Parish,1344,2641,268,
Richland Parish,3765,4143,645,
Sabine Parish,3543,4263,1043,
St. Bernard Parish,13549,14312,2664,
St. Charles Parish,9316,10612,1307,
St. Helena Parish,1455,3692,417,
St. James Parish,2832,7247,608,
St. John the Baptist Parish,6025,9937,966,
St. Landry Parish,12273,20636,2311,
St. Martin Parish,6296,12492,1607,
St. Mary Parish,8018,12402,1850,
St. Tammany Parish,44761,24281,4741,
Tangipahoa Parish,15517,18617,3144,
Tensas Parish,1000,1882,176,
Terrebonne Parish,13944,18550,3359,
Union Parish,4418,4260,696,
Vermilion Parish,7653,12609,1954,
Vernon Parish,5449,6195,2068,
Washington Parish,6642,9603,1643,
Webster Parish,6153,9688,1324,
West Baton Rouge Parish,3254,5697,799,
West Carroll Parish,2366,1853,461,
West Feliciana Parish,1616,2416,388,
Winn Parish,2803,3779,735,
