2000 US Presidential Election,Bush,Gore,Nader,Unnamed: 4
Acadia Parish,13814,8892,227,
Allen Parish,4035,3914,115,
Ascension Parish,16818,13385,340,
Assumption Parish,4388,5222,119,
Avoyelles Parish,7329,6701,170,
Beauregard Parish,7862,3958,155,
Bienville Parish,3269,3413,50,
Bossier Parish,23224,11933,295,
Caddo Parish,46807,47530,734,
Calcasieu Parish,38086,33919,895,
Caldwell Parish,2817,1359,37,
Cameron Parish,2593,1435,46,
Catahoula Parish,2912,1718,28,
Claiborne Parish,3384,2721,35,
Concordia Parish,4627,3569,54,
De Soto Parish,5260,5036,67,
East Baton Rouge Parish,89128,76516,2105,
East Carroll Parish,1280,1876,16,
East Feliciana Parish,4051,3870,60,
Evangeline Parish,7290,5763,140,
Franklin Parish,5363,2792,51,
Grant Parish,4784,2099,57,
Iberia Parish,17236,11762,365,
Iberville Parish,5573,8355,175,
Jackson Parish,4347,2582,53,
Jefferson Parish,105003,70411,2293,
Jefferson Davis Parish,6945,5162,143,
Lafayette Parish,48491,27190,1510,
Lafourche Parish,18575,14627,424,
La Salle Parish,4564,1397,57,
Lincoln Parish,9246,6851,124,
Livingston Parish,24889,11008,384,
Madison Parish,2127,2489,37,
Morehouse Parish,6641,5289,103,
Natchitoches Parish,7332,6924,109,
Orleans Parish,39404,137630,3025,
Ouachita Parish,35107,21457,529,
Plaquemines Parish,6302,4425,104,
Pointe Coupee Parish,4710,5813,108,
Rapides Parish,28831,18898,446,
Red River Parish,2200,2177,35,
Richland Parish,4895,3282,51,
Sabine Parish,5754,2846,81,
St. Bernard Parish,16255,11682,397,
St. Charles Parish,11981,8918,215,
St. Helena Parish,1965,3059,65,
St. James Parish,3813,6523,61,
St. John the Baptist Parish,7423,9745,164,
St. Landry Parish,15449,18067,225,
St. Martin Parish,9961,9853,268,
St. Mary Parish,11325,9851,214,
St. Tammany Parish,59193,22722,1199,
Tangipahoa Parish,20421,15843,405,
Tensas Parish,1330,1580,20,
Terrebonne Parish,21314,14414,310,
Union Parish,5772,3205,66,
Vermilion Parish,12495,8704,307,
Vernon Parish,8794,4655,151,
Washington Parish,8983,7399,126,
Webster Parish,9420,7197,120,
West Baton Rouge Parish,4924,5058,69,
West Carroll Parish,3220,1319,25,
West Feliciana Parish,2512,2187,62,
Winn Parish,4028,2167,52,
