2004 US Presidential Election,Bush,Kerry,Other,Unnamed: 4
Acadia Parish,16083,8937,210,
Allen Parish,5140,3791,193,
Ascension Parish,24661,13955,484,
Assumption Parish,4966,5585,184,
Avoyelles Parish,8302,6976,247,
Beauregard Parish,9470,3666,145,
Bienville Parish,3612,3399,146,
Bossier Parish,30040,12317,348,
Caddo Parish,54292,51739,564,
Calcasieu Parish,46075,32864,759,
Caldwell Parish,3308,1384,60,
Cameron Parish,3190,1367,83,
Catahoula Parish,3219,1673,62,
Claiborne Parish,3704,2854,72,
Concordia Parish,5427,3446,107,
De Soto Parish,6211,5026,99,
East Baton Rouge Parish,99943,82298,1401,
East Carroll Parish,1357,1980,58,
East Feliciana Parish,5021,4091,89,
Evangeline Parish,7949,5757,273,
Franklin Parish,6141,2828,134,
Grant Parish,5911,1977,103,
Iberia Parish,19420,12426,427,
Iberville Parish,6333,8259,235,
Jackson Parish,5038,2525,84,
Jefferson Parish,117882,72136,1645,
Jefferson Davis Parish,8055,4745,207,
Lafayette Parish,57732,31210,981,
Lafourche Parish,22734,14417,713,
La Salle Parish,5015,1155,68,
Lincoln Parish,10791,7242,185,
Livingston Parish,33976,9895,382,
Madison Parish,2291,2334,48,
Morehouse Parish,7471,5336,164,
Natchitoches Parish,9261,7398,307,
Orleans Parish,42847,152610,1646,
Ouachita Parish,41750,22016,678,
Plaquemines Parish,7866,4181,106,
Pointe Coupee Parish,5429,5712,130,
Rapides Parish,34492,18904,673,
Red River Parish,2507,2140,70,
Richland Parish,5471,3082,112,
Sabine Parish,6711,2743,122,
St. Bernard Parish,19597,9956,285,
St. Charles Parish,14747,8856,234,
St. Helena Parish,2235,3173,100,
St. James Parish,4545,6407,156,
St. John the Baptist Parish,9039,10305,273,
St. Landry Parish,18315,18166,279,
St. Martin Parish,12095,10321,408,
St. Mary Parish,12877,9547,270,
St. Tammany Parish,75139,24665,788,
Tangipahoa Parish,26181,15345,609,
Tensas Parish,1453,1469,41,
Terrebonne Parish,26358,13684,532,
Union Parish,7457,3089,172,
Vermilion Parish,15069,9085,398,
Vernon Parish,11032,4035,162,
Washington Parish,11006,6554,281,
Webster Parish,11070,6833,546,
West Baton Rouge Parish,5822,4932,81,
West Carroll Parish,3740,1231,62,
West Feliciana Parish,2932,2214,72,
Winn Parish,4366,2056,85,
