2008 US Presidential Election,McCain,Obama,Other,Unnamed: 4
Acadia Parish,19229,7028,454,
Allen Parish,6333,2891,243,
Ascension Parish,31239,14625,707,
Assumption Parish,5981,4756,223,
Avoyelles Parish,10236,6327,375,
Beauregard Parish,10718,3071,285,
Bienville Parish,3776,3589,65,
Bossier Parish,32713,12703,419,
Caddo Parish,52228,55536,896,
Calcasieu Parish,50449,30244,1438,
Caldwell Parish,3696,1118,79,
Cameron Parish,3089,613,91,
Catahoula Parish,3486,1659,80,
Claiborne Parish,3750,3025,66,
Concordia Parish,5668,3766,93,
De Soto Parish,6883,5242,132,
East Baton Rouge Parish,95390,99652,2307,
East Carroll Parish,1254,2267,38,
East Feliciana Parish,5432,4383,132,
Evangeline Parish,9793,5853,330,
Franklin Parish,6278,2961,119,
Grant Parish,6907,1474,177,
Iberia Parish,20127,12492,549,
Iberville Parish,7185,9023,213,
Jackson Parish,5190,2456,90,
Jefferson Parish,113191,65096,2833,
Jefferson Davis Parish,9278,3923,300,
Lafayette Parish,62055,32145,1442,
Lafourche Parish,27089,9662,1142,
La Salle Parish,5602,860,91,
Lincoln Parish,10680,8292,207,
Livingston Parish,43269,6681,942,
Madison Parish,2152,3100,48,
Morehouse Parish,7258,5792,150,
Natchitoches Parish,9054,7801,212,
Orleans Parish,28130,117102,2207,
Ouachita Parish,41741,24813,690,
Plaquemines Parish,6894,3380,175,
Pointe Coupee Parish,6702,5516,217,
Rapides Parish,36611,20127,783,
Red River Parish,2484,2080,65,
Richland Parish,5751,3311,119,
Sabine Parish,7226,2245,181,
St. Bernard Parish,9643,3491,407,
St. Charles Parish,16457,8522,418,
St. Helena Parish,2522,3567,95,
St. James Parish,5432,6994,138,
St. John the Baptist Parish,8912,12424,320,
St. Landry Parish,21650,20268,575,
St. Martin Parish,14443,9419,390,
St. Mary Parish,13183,9345,375,
St. Tammany Parish,83078,24596,1868,
Tangipahoa Parish,31434,16438,730,
Tensas Parish,1367,1646,27,
Terrebonne Parish,28210,11581,905,
Union Parish,7619,3103,146,
Vermilion Parish,18069,6266,498,
Vernon Parish,11946,3534,289,
Washington Parish,12215,6122,287,
Webster Parish,11417,6610,243,
West Baton Rouge Parish,6654,5043,169,
West Carroll Parish,4045,878,64,
West Feliciana Parish,3150,2415,55,
Winn Parish,4632,2047,93,
