2012 US Presidential Election,Romney,Obama,Other,Unnamed: 4
Acadia Parish,19931,6560,344,
Allen Parish,6495,2617,195,
Ascension Parish,33856,16349,868,
Assumption Parish,6083,4754,155,
Avoyelles Parish,10670,6077,285,
Beauregard Parish,11112,2828,285,
Bienville Parish,3641,3490,72,
Bossier Parish,34988,12956,618,
Caddo Parish,52459,58042,1264,
Calcasieu Parish,51850,28359,1517,
Caldwell Parish,3640,1016,60,
Cameron Parish,3260,408,76,
Catahoula Parish,2744,1408,41,
Claiborne Parish,3649,3014,69,
Concordia Parish,5450,3833,97,
De Soto Parish,7353,5553,145,
East Baton Rouge Parish,92292,102656,3223,
East Carroll Parish,1508,2478,22,
East Feliciana Parish,5397,4648,164,
Evangeline Parish,10181,5330,259,
Franklin Parish,6294,2921,121,
Grant Parish,7082,1422,163,
Iberia Parish,20892,12132,373,
Iberville Parish,7271,9548,195,
Jackson Parish,5132,2305,92,
Jefferson Parish,102536,70384,3423,
Jefferson Davis Parish,10014,3484,236,
Lafayette Parish,64992,31768,1882,
Lafourche Parish,28592,9623,860,
La Salle Parish,5726,764,82,
Lincoln Parish,10739,7956,298,
Livingston Parish,45513,7451,1098,
Madison Parish,2000,3154,33,
Morehouse Parish,6591,5888,135,
Natchitoches Parish,9077,7942,239,
Orleans Parish,28003,126722,3088,
Ouachita Parish,40948,26645,881,
Plaquemines Parish,6471,3599,169,
Pointe Coupee Parish,6548,5436,163,
Rapides Parish,37193,20045,781,
Red River Parish,2483,2253,71,
Richland Parish,5846,3387,96,
Sabine Parish,7738,2194,121,
St. Bernard Parish,8501,5059,395,
St. Charles Parish,15937,8896,500,
St. Helena Parish,2529,3780,85,
St. James Parish,5209,7059,127,
St. John the Baptist Parish,7620,13179,324,
St. Landry Parish,21475,19668,504,
St. Martin Parish,15653,9422,358,
St. Mary Parish,13885,9450,305,
St. Tammany Parish,84723,25728,2451,
Tangipahoa Parish,31590,17722,787,
Tensas Parish,1230,1564,18,
Terrebonne Parish,29503,12074,764,
Union Parish,7561,3075,130,
Vermilion Parish,18910,5720,357,
Vernon Parish,12150,3173,287,
Washington Parish,11798,6466,317,
Webster Parish,11400,6802,214,
West Baton Rouge Parish,6922,5692,160,
West Carroll Parish,3628,853,67,
West Feliciana Parish,3257,2441,79,
Winn Parish,4541,1919,74,
